Sent At,Direction
"10/14/20, 9:04 PM",INCOMING
"10/14/20, 10:34 AM",INCOMING
"10/13/20, 7:54 AM",INCOMING
"10/12/20, 11:54 PM",INCOMING
"10/12/20, 8:23 PM",INCOMING
"10/12/20, 7:54 AM",INCOMING
"10/12/20, 1:41 AM",INCOMING
"10/11/20, 10:26 AM",INCOMING
"10/10/20, 9:03 AM",INCOMING
"10/10/20, 12:03 AM",INCOMING
"10/9/20, 7:08 AM",INCOMING
"10/9/20, 5:57 AM",INCOMING
"10/8/20, 7:21 AM",INCOMING
"10/8/20, 3:13 AM",INCOMING
"10/7/20, 11:04 PM",INCOMING
"10/7/20, 9:04 PM",INCOMING
"10/7/20, 2:03 PM",INCOMING
"10/7/20, 1:17 PM",INCOMING
"10/7/20, 10:51 AM",INCOMING
"10/7/20, 6:59 AM",INCOMING
"10/7/20, 6:08 AM",INCOMING
"10/7/20, 12:07 AM",INCOMING
"10/6/20, 7:05 PM",INCOMING
"10/6/20, 2:21 AM",INCOMING
"10/6/20, 12:35 AM",INCOMING
"10/5/20, 11:38 PM",INCOMING
"10/5/20, 7:07 PM",INCOMING
"10/5/20, 9:33 AM",INCOMING
"10/3/20, 11:13 PM",INCOMING
"10/3/20, 11:00 PM",INCOMING
"10/3/20, 10:37 PM",INCOMING
"10/3/20, 10:37 AM",INCOMING
"10/3/20, 4:06 AM",INCOMING
"10/3/20, 1:55 AM",INCOMING
"10/2/20, 9:54 PM",INCOMING
"10/2/20, 7:57 AM",INCOMING
"10/1/20, 7:52 PM",INCOMING
"10/1/20, 7:03 PM",INCOMING
"9/30/20, 1:57 PM",INCOMING
"9/30/20, 7:03 AM",INCOMING
"9/30/20, 6:32 AM",INCOMING
"9/29/20, 10:52 PM",INCOMING
"9/29/20, 9:20 PM",INCOMING
"9/29/20, 7:55 PM",INCOMING
"9/29/20, 10:27 AM",INCOMING
"9/28/20, 12:46 AM",INCOMING
"9/27/20, 6:50 AM",INCOMING
"9/27/20, 1:41 AM",INCOMING
"9/26/20, 8:07 PM",INCOMING
"9/26/20, 8:44 AM",INCOMING
"9/25/20, 9:09 PM",INCOMING
"9/25/20, 7:58 AM",INCOMING
"9/25/20, 5:14 AM",INCOMING
"9/25/20, 5:04 AM",INCOMING
"9/25/20, 3:25 AM",INCOMING
"9/25/20, 2:56 AM",INCOMING
"9/25/20, 2:39 AM",INCOMING
"9/25/20, 12:47 AM",INCOMING
"9/24/20, 10:00 PM",INCOMING
"9/24/20, 9:47 PM",INCOMING
"9/24/20, 9:25 PM",INCOMING
"9/24/20, 4:13 PM",INCOMING
"9/14/20, 7:22 PM",INCOMING
"9/14/20, 2:17 AM",INCOMING
"9/14/20, 1:21 AM",INCOMING
"9/13/20, 10:33 PM",INCOMING
"9/13/20, 10:01 AM",INCOMING
"9/9/20, 11:47 PM",INCOMING
"9/23/20, 4:55 AM",INCOMING
"9/22/20, 10:59 AM",INCOMING
"9/22/20, 10:09 AM",INCOMING
"9/22/20, 7:26 AM",INCOMING
"9/22/20, 4:42 AM",INCOMING
"9/22/20, 1:11 AM",INCOMING
"9/22/20, 1:08 AM",INCOMING
"9/21/20, 10:55 PM",INCOMING
"9/20/20, 8:32 PM",INCOMING
"9/20/20, 4:03 AM",INCOMING
"9/20/20, 12:32 AM",INCOMING
"9/19/20, 8:00 PM",INCOMING
"9/19/20, 7:33 AM",INCOMING
"9/18/20, 10:23 AM",INCOMING
"9/18/20, 9:13 AM",INCOMING
"9/18/20, 7:03 AM",INCOMING
"9/18/20, 3:06 AM",INCOMING
"9/17/20, 10:36 PM",INCOMING
"9/17/20, 10:32 PM",INCOMING
"9/17/20, 6:39 AM",INCOMING
"9/17/20, 3:18 AM",INCOMING
"9/16/20, 10:38 PM",INCOMING
"9/16/20, 1:16 PM",INCOMING
"9/16/20, 8:58 AM",INCOMING
"9/16/20, 8:29 AM",INCOMING
"9/15/20, 11:35 PM",INCOMING
"9/15/20, 6:53 AM",INCOMING
"9/14/20, 11:34 PM",INCOMING
"9/14/20, 9:27 PM",INCOMING
"9/14/20, 8:05 PM",INCOMING
"9/12/20, 8:51 PM",INCOMING
"9/12/20, 9:20 AM",INCOMING
"9/12/20, 3:55 AM",INCOMING
"9/12/20, 2:47 AM",INCOMING
"9/11/20, 11:37 PM",INCOMING
"9/11/20, 6:48 PM",INCOMING
"9/11/20, 8:55 AM",INCOMING
"9/11/20, 1:49 AM",INCOMING
"9/10/20, 11:00 PM",INCOMING
"9/10/20, 7:00 AM",INCOMING
"9/9/20, 11:07 PM",INCOMING
"9/8/20, 10:47 PM",INCOMING
"9/8/20, 9:48 PM",INCOMING
"9/8/20, 9:06 PM",INCOMING
"9/8/20, 12:40 AM",INCOMING
"9/7/20, 2:38 AM",INCOMING
"9/6/20, 10:34 PM",INCOMING
"9/6/20, 10:19 PM",INCOMING
"9/6/20, 12:47 PM",INCOMING
"9/5/20, 11:48 AM",INCOMING
"9/5/20, 10:20 AM",INCOMING
"9/5/20, 10:19 AM",INCOMING
"9/5/20, 4:47 AM",INCOMING
"9/4/20, 11:26 PM",INCOMING
"9/4/20, 4:49 PM",INCOMING
"9/4/20, 10:47 AM",INCOMING
"9/4/20, 5:07 AM",INCOMING
"9/4/20, 4:03 AM",INCOMING
"9/3/20, 11:44 AM",INCOMING
"9/3/20, 9:16 AM",INCOMING
"9/3/20, 12:41 AM",INCOMING
"9/2/20, 11:50 PM",INCOMING
"9/2/20, 11:58 AM",INCOMING
"9/2/20, 8:16 AM",INCOMING
"9/2/20, 5:27 AM",INCOMING
"9/1/20, 8:53 AM",INCOMING
"9/1/20, 7:04 AM",INCOMING
"9/1/20, 6:30 AM",INCOMING
"8/31/20, 10:42 PM",INCOMING
"8/31/20, 9:06 AM",INCOMING
"8/30/20, 10:14 AM",INCOMING
"8/30/20, 4:15 AM",INCOMING
"8/30/20, 12:09 AM",INCOMING
"8/29/20, 10:26 AM",INCOMING
"8/29/20, 7:28 AM",INCOMING
"8/28/20, 9:34 AM",INCOMING
"8/28/20, 9:24 AM",INCOMING
"8/28/20, 7:38 AM",INCOMING
"8/28/20, 6:32 AM",INCOMING
"8/28/20, 1:56 AM",INCOMING
"8/27/20, 10:48 PM",INCOMING
"8/27/20, 6:05 AM",INCOMING
"8/27/20, 4:37 AM",INCOMING
"8/27/20, 3:02 AM",INCOMING
"8/27/20, 2:33 AM",INCOMING
"8/27/20, 12:39 AM",INCOMING
"8/26/20, 10:14 AM",INCOMING
"8/26/20, 3:42 AM",INCOMING
"8/26/20, 1:00 AM",INCOMING
"8/25/20, 12:11 PM",INCOMING
"8/25/20, 6:57 AM",INCOMING
"8/24/20, 4:51 PM",INCOMING
"8/24/20, 11:05 AM",INCOMING
"8/24/20, 8:09 AM",INCOMING
"8/24/20, 3:08 AM",INCOMING
"8/23/20, 11:51 PM",INCOMING
"8/23/20, 11:17 AM",INCOMING
"8/23/20, 8:52 AM",INCOMING
"8/23/20, 8:00 AM",INCOMING
"8/31/20, 3:18 AM",INCOMING
"8/31/20, 12:19 AM",INCOMING
"8/30/20, 7:47 AM",INCOMING
"8/23/20, 12:02 AM",INCOMING
"8/22/20, 11:31 PM",INCOMING
"8/22/20, 3:43 AM",INCOMING
"8/21/20, 11:27 AM",INCOMING
"8/21/20, 10:02 AM",INCOMING
"8/21/20, 6:32 AM",INCOMING
"8/21/20, 3:05 AM",INCOMING
"8/21/20, 2:22 AM",INCOMING
"8/20/20, 9:10 PM",INCOMING
"8/20/20, 1:36 PM",INCOMING
"8/20/20, 8:56 AM",INCOMING
"8/20/20, 5:22 AM",INCOMING
"8/20/20, 2:19 AM",INCOMING
"8/20/20, 12:44 AM",INCOMING
"8/19/20, 11:40 PM",INCOMING
"8/19/20, 2:19 PM",INCOMING
"8/19/20, 12:13 PM",INCOMING
"8/19/20, 8:05 AM",INCOMING
"8/19/20, 4:10 AM",INCOMING
"8/19/20, 2:33 AM",INCOMING
"8/19/20, 12:34 AM",INCOMING
"8/19/20, 12:07 AM",INCOMING
"8/18/20, 9:12 PM",INCOMING
"8/18/20, 7:36 PM",INCOMING
"8/18/20, 1:48 PM",INCOMING
"8/18/20, 10:01 AM",INCOMING
"8/18/20, 4:22 AM",INCOMING
"8/18/20, 2:29 AM",INCOMING
"8/18/20, 1:56 AM",INCOMING
"8/18/20, 1:05 AM",INCOMING
"8/17/20, 8:36 PM",INCOMING
"8/17/20, 1:11 PM",INCOMING
"8/17/20, 4:03 AM",INCOMING
"8/16/20, 9:07 PM",INCOMING
"8/16/20, 9:45 AM",INCOMING
"8/16/20, 7:49 AM",INCOMING
"8/16/20, 4:54 AM",INCOMING
"8/16/20, 3:59 AM",INCOMING
"8/16/20, 3:38 AM",INCOMING
"8/15/20, 8:33 PM",INCOMING
"8/15/20, 8:19 AM",INCOMING
"8/14/20, 11:58 PM",INCOMING
"8/14/20, 9:43 PM",INCOMING
"8/14/20, 9:33 PM",INCOMING
"8/14/20, 10:15 AM",INCOMING
"8/14/20, 9:16 AM",INCOMING
"8/14/20, 8:44 AM",INCOMING
"8/14/20, 7:45 AM",INCOMING
"8/14/20, 1:47 AM",INCOMING
"8/14/20, 1:38 AM",INCOMING
"8/14/20, 1:13 AM",INCOMING
"8/13/20, 11:31 PM",INCOMING
"8/13/20, 11:25 PM",INCOMING
"8/13/20, 10:28 PM",INCOMING
"8/13/20, 9:24 PM",INCOMING
"8/13/20, 7:56 PM",INCOMING
"8/13/20, 7:47 PM",INCOMING
"8/13/20, 1:00 PM",INCOMING
"8/13/20, 6:57 AM",INCOMING
"8/13/20, 6:05 AM",INCOMING
"8/13/20, 4:47 AM",INCOMING
"8/13/20, 2:17 AM",INCOMING
"8/13/20, 1:50 AM",INCOMING
"8/9/20, 7:52 AM",INCOMING
"8/9/20, 2:14 AM",INCOMING
"8/8/20, 10:55 PM",INCOMING
"8/8/20, 10:46 PM",INCOMING
"8/8/20, 10:46 PM",INCOMING
"8/8/20, 8:24 PM",INCOMING
"8/8/20, 12:36 PM",INCOMING
"8/8/20, 11:53 AM",INCOMING
"8/8/20, 9:28 AM",INCOMING
"8/8/20, 8:38 AM",INCOMING
"8/8/20, 5:36 AM",INCOMING
"8/8/20, 5:29 AM",INCOMING
"8/8/20, 5:04 AM",INCOMING
"8/8/20, 4:46 AM",INCOMING
"8/8/20, 4:26 AM",INCOMING
"8/8/20, 1:46 AM",INCOMING
"8/8/20, 1:13 AM",INCOMING
"8/8/20, 12:06 AM",INCOMING
"8/7/20, 9:36 PM",INCOMING
"8/7/20, 7:11 PM",INCOMING
"8/7/20, 2:39 PM",INCOMING
"8/7/20, 10:59 AM",INCOMING
"8/7/20, 9:58 AM",INCOMING
"8/7/20, 9:29 AM",INCOMING
"8/7/20, 8:13 AM",INCOMING
"8/7/20, 8:07 AM",INCOMING
"8/7/20, 7:25 AM",INCOMING
"8/7/20, 6:53 AM",INCOMING
"8/7/20, 6:52 AM",INCOMING
"8/7/20, 6:46 AM",INCOMING
"8/7/20, 6:25 AM",INCOMING
"8/7/20, 6:18 AM",INCOMING
"8/7/20, 5:32 AM",INCOMING
"8/5/20, 8:57 PM",INCOMING
"8/12/20, 9:52 PM",INCOMING
"8/12/20, 8:49 PM",INCOMING
"8/12/20, 5:46 PM",INCOMING
"8/12/20, 9:20 AM",INCOMING
"8/12/20, 9:03 AM",INCOMING
"8/12/20, 8:44 AM",INCOMING
"8/12/20, 3:29 AM",INCOMING
"8/12/20, 1:49 AM",INCOMING
"8/12/20, 12:36 AM",INCOMING
"8/12/20, 12:10 AM",INCOMING
"8/11/20, 10:35 PM",INCOMING
"8/11/20, 4:09 AM",INCOMING
"8/11/20, 3:39 AM",INCOMING
"8/11/20, 2:31 AM",INCOMING
"8/11/20, 2:10 AM",INCOMING
"8/11/20, 1:45 AM",INCOMING
"8/10/20, 10:05 PM",INCOMING
"8/10/20, 8:52 PM",INCOMING
"8/10/20, 8:01 PM",INCOMING
"8/10/20, 5:37 PM",INCOMING
"8/10/20, 11:43 AM",INCOMING
"8/10/20, 11:23 AM",INCOMING
"8/10/20, 11:20 AM",INCOMING
"8/10/20, 8:31 AM",INCOMING
"8/10/20, 7:43 AM",INCOMING
"8/10/20, 7:07 AM",INCOMING
"8/10/20, 4:15 AM",INCOMING
"8/10/20, 2:55 AM",INCOMING
"8/10/20, 1:37 AM",INCOMING
"8/10/20, 1:36 AM",INCOMING
"8/10/20, 12:35 AM",INCOMING
"8/9/20, 10:54 PM",INCOMING
"8/9/20, 8:30 PM",INCOMING
"8/9/20, 8:27 PM",INCOMING
"8/9/20, 7:53 PM",INCOMING
"8/9/20, 6:52 PM",INCOMING
"8/9/20, 12:49 PM",INCOMING
"8/9/20, 10:44 AM",INCOMING
"8/9/20, 10:29 AM",INCOMING
"8/9/20, 7:09 AM",INCOMING
"8/9/20, 5:48 AM",INCOMING
"8/9/20, 5:23 AM",INCOMING
"8/8/20, 11:59 AM",INCOMING
"8/6/20, 4:37 AM",INCOMING
"8/6/20, 4:22 AM",INCOMING
"8/6/20, 4:19 AM",INCOMING
"8/6/20, 3:57 AM",INCOMING
