Company,Position,Connected On
,,20-Sep-20
,,20-Sep-20
Accenture,Customer Service Representative,20-Sep-20
Infinity Lifts Ireland,Marketing Executive,17-Sep-20
Google Developers Group,Campus Ambassador,8-Sep-20
NSS IIT Bhilai,General secretary ,8-Sep-20
Chennai Institute of Technology,Student,8-Sep-20
Finlatics,Equity research analyst and portfolio management ,8-Sep-20
SWW,Engineer | Entrepreneur,8-Sep-20
Vellore Institute of Technology,Student Council Member,8-Sep-20
,,8-Sep-20
MeChonyX - D2R,Chief Operating Officer,8-Sep-20
Relatas - Sales AI,Artificial Intelligence Intern,8-Sep-20
K21Academy : Learn Cloud From Experts,Founder,8-Sep-20
HEARTS,HELP,8-Sep-20
"Shenzhen Feasycom Technology Co.,LTD",sales ,8-Sep-20
Goa Institute of Management (GIM),Junior Corporate Relations and Placements Coordinator,8-Sep-20
Cognizant,Data Analyst,8-Sep-20
Learning Edge,Human Resources Generalist,8-Sep-20
,,8-Sep-20
,,8-Sep-20
,,8-Sep-20
HiyaMee,Senior Talent Acquisition Specialist,8-Sep-20
Cloud4C Services,Principle Engineer,8-Sep-20
Kongsberg Digital,SDE-L3,8-Sep-20
Coding Ninjas India,Campus Ambassador,8-Sep-20
Mindtree,Senior Software Engineer,8-Sep-20
,,8-Sep-20
CipherSchools,Campus Ambassador,8-Sep-20
Qualcomm,Associate Engineer,8-Sep-20
IET On Campus VIT,Core committee member,8-Sep-20
CrayDesi,Digital Marketing Intern,8-Sep-20
IoTEDU,Project Developer - Team Head,8-Sep-20
Aspen Elevators ,Sales Consultant,8-Sep-20
Xeno,Marketing Strategist,8-Sep-20
,,31-Aug-20
,,31-Aug-20
"Indian Institute of Technology, Bombay",Campus Ambassador,31-Aug-20
Shell,Software Engineer,31-Aug-20
Rippling,Sales Development Representative,31-Aug-20
Upwork,Startup Mentor,31-Aug-20
,,31-Aug-20
Kovai.co,Software Engineer Intern,31-Aug-20
TOKYOSTYLE SL,Ambassador,31-Aug-20
BT,Software Associate,31-Aug-20
Novo Nordisk,Advanced Business Analyst I,31-Aug-20
Simplilearn,Inside Sales Specialist,31-Aug-20
