Company,Position,Connected On
"Futurism Technologies, INC.",Sr .Business Development,27-May-20
Laish Enterprise ,Summer Intern,27-May-20
UPEYA ELECTRONICS LLP,Computer Vision Engineer,27-May-20
,,27-May-20
iFluids Engineering,Training,27-May-20
,,27-May-20
Wildlife Institute of India,SDE Intern,27-May-20
Societe Generale Global Solution Centre,Software Engineer - Full Stack,27-May-20
"E-Cell, Pantnagar",Placement Committee Member,27-May-20
,,27-May-20
ParvaM,Intern,27-May-20
Self-Employed,Freelance Writer,27-May-20
TWIRTI Technologies pvt Ltd,Associate Software Engineer,27-May-20
StartupLanes.com,Regional Director,27-May-20
JPMorgan Chase & Co.,Virtual intern,27-May-20
,,27-May-20
Nokia,Student Intern,27-May-20
Novo Nordisk,Sen. Data Manager,27-May-20
OyeLazy,Business Development Intern,27-May-20
"Meesho, Dunzo, Flipkart , People Nest Management Consultants",Talent Acquisition Specialist,27-May-20
Infosys,Technology Analyst,27-May-20
Capgemini,Software Engineer,27-May-20
Credex Technology,Senior Software Engineer,27-May-20
VIT-AP,Assistant Professor senior grade,27-May-20
simulus automation pvt LTD, Design and verification enginer,27-May-20
MKU,Marketing Executive,27-May-20
Wipro Limited,Project Engineer,27-May-20
,,27-May-20
AlphaDevs,Intern,27-May-20
Tricon Infotech,Software Developer,27-May-20
Kohli Media LLP, Web Developer Intern,27-May-20
Fʀᴇᴇʟᴀɴᴄᴇ,P̴R̴O̴G̴R̴A̴M̴M̴E̴R̴,27-May-20
Anti Corona Task Force,Graphic Designer,27-May-20
,,27-May-20
,,27-May-20
,,27-May-20
Deloitte India (Offices of the US),Software Engineer,27-May-20
Ericsson India Global Services Pvt Ltd,Specialist,27-May-20
Pegasystems,Software Engineer,27-May-20
Accenture,Scrum Master,27-May-20
Haier Appliances India Pvt Ltd,Quality Control Inspector,27-May-20
KTech Products (KTP),"Software Engineer, AI Research",27-May-20
Sunny Numbers,Founder ,27-May-20
Mossé Cyber Security Institute,MRI - MCSI Internship,27-May-20
Vellore Institute of Technology,Student,27-May-20
Founder of Success Is Within Leadership  - USA & INDIA,CEO,24-May-20
Flipkart,Software Engineer,23-May-20
ASA & ASSOCIATES LLP,Senior Assurance Associate,22-May-20
Microsoft,Technical Recruiter,21-May-20
ReNew Power,Graduate engineer trainee,20-May-20
IEEE RIT,Executive Committee Member,19-May-20
Fourth Ambit Technologies Pvt Ltd ( 4th Ambit),Co-Founder and Rainmaker,19-May-20
Optum,Software Engineer,18-May-20
NatWest Group,Software Engineer,18-May-20
COLCO,Talent & Marketing Collaborator ,18-May-20
Coding Ninjas India,Campus Ambassador,18-May-20
,,18-May-20
Indore Institute of Science and Technology,Student,18-May-20
DataPillar,Head of Technical Delivery,18-May-20
Virtusa,Associate Engineer,18-May-20
slice,Campus Ambassador,18-May-20
Developer Student Clubs - GGV ,Marketing And Public Relations Lead,18-May-20
OpenAIMP,Artificial Intelligence Intern,18-May-20
Deloitte India (Offices of the US),Senior Analyst,18-May-20
"o9 Solutions, Inc.",Technical Consultant,18-May-20
ACSES,Club Service Director ,18-May-20
,,18-May-20
"Guru Nanak Dev University, Amritsar, Punjab-India",CCJDEO,18-May-20
Phinix Automation,Project Engineer,18-May-20
Outside the March,Tech Innovation Intern,18-May-20
DailyRounds / Marrow,SDE - Intern,18-May-20
Dozee,Embedded Firmware Developer,18-May-20
UnitedHealth Group,Human Capital Leader,18-May-20
Accenture,Application Development Associate Manager,18-May-20
,,18-May-20
,,18-May-20
,,18-May-20
Ansys,R&D Engineer II,18-May-20
CodXCrypt Community,Project Survey Head At CodXCrypt,18-May-20
AntWorks,Senior Test Engineer,18-May-20
NTT Ltd.,Graduate Engineering Trainee,18-May-20
Vodafone Shared services,Senior Executive,18-May-20
"CISMA consultants Pvt Ltd (A wholly owned subsidiary of Verikwest Systems Inc, USA)",Associate Engineer,18-May-20
Unschool ,Marketing Intern,18-May-20
Bharti Airtel,Security Intern ,18-May-20
Vast Web India Pvt. Ltd.,Search Engine Optimization Specialist,18-May-20
Health And Wellness Club IMT Ghaziabad,Junior Member,18-May-20
,,18-May-20
The Electronics Club Of VIT,Core Committee Member,18-May-20
,,18-May-20
SOSOCIAL,Back End Developer,18-May-20
Fillip Technologies,Human Resources Intern,18-May-20
WARTENS,Automation Engineer Trainee,18-May-20
Tata Consultancy Services,Systems Engineer,18-May-20
Building business out of my passion,Life Coach| Passionprenuer| ,18-May-20
Shell,Software Engineer,18-May-20
Ericsson,Research Intern,18-May-20
,,18-May-20
,,18-May-20
UST Global,IoT Intern ,18-May-20
Nokia,R&D Intern,18-May-20
G2,Backend Engineer,18-May-20
Vellore Institute of Technology,Program Representative of CSE Department,18-May-20
Tata Consultancy Services,System Engineer,18-May-20
JPMorgan Chase & Co.,Software Engineer II,17-May-20
Praxis Business School,Placement Coordinator,17-May-20
SimplyHormones,Simply Hormones,16-May-20
MerchantNavyGuruji,Youtuber,16-May-20
Team Fourth Dimension,Member,16-May-20
CogniTensor,Data Science Intern,16-May-20
DXC Technology,"Data, Analytics and AI Team Lead ",16-May-20
"Technocrats Automations ,Chennai",Automation Certification Course,16-May-20
SAI Consulting Engineers - SYSTRA Group,Acting Team Leader/Deputy TL,16-May-20
md raja enterprises,House Painter,16-May-20
Self employed,business,16-May-20
,,16-May-20
CoachEd ,Founding Team-Head of Collaboration & Partnerships,16-May-20
,,16-May-20
Self-employed,Data Science Student,16-May-20
Google Crowdsource ,influencer,16-May-20
Internshala,Internshala Student Partner 19,16-May-20
DLithe,Intern,16-May-20
LinuxWorld Informatics Pvt Ltd,Flutter Intern,16-May-20
Coding Blocks,Mentor | Product Engineer,16-May-20
GENESYS TELECOM LABS INDIA PRIVATE LIMITED,Intern,16-May-20
,,16-May-20
Equinix,Technical Sales Consultant,16-May-20
The Climber,Operations Executive,16-May-20
Learning Curve - My Personal Tutor,Educator,16-May-20
Verzeo,Summer Intern,16-May-20
DSRC,Software Engineer,16-May-20
Flipkart,Data Analyst - Supply Chain analytics ,16-May-20
,,16-May-20
,,16-May-20
,,16-May-20
Hyve India Private Limited,COORDINATOR CLIENT SERVICE,16-May-20
Self Employed,Skillset: I m good at Factory Management + Production Management +People Management + HR. ,16-May-20
Oracle,Software Developer,16-May-20
Freelancer,Social Media Marketing,16-May-20
,,16-May-20
,,16-May-20
,,16-May-20
Dr. A.P.J. Abdul Kalam Technical University,Student,16-May-20
Nous Infosystems,Software Engineer- Trainee,16-May-20
Hexaware Technologies,Senior Software Engineer,16-May-20
Amazon Web Services (AWS),AWS Honeycode Beta Team Member,16-May-20
Aptiv,Graduate Engineer,16-May-20
McKinley & Rice,Engineer,16-May-20
V innovate IT,Core committee member,16-May-20
University of Massachusetts Amherst,Graduate Teaching Assistant,16-May-20
Uber,Business Analyst,16-May-20
Mindtree,Senior Software Engineer,16-May-20
LTI - Larsen & Toubro Infotech,Software Engineer -2,16-May-20
Vellore Institute of Technology,Student,16-May-20
,,16-May-20
,,16-May-20
Scholify,Android Developer,16-May-20
CMS Computers Limited (INDIA),Team Lead Level 1,16-May-20
Collegedunia,Campus Ambassador,16-May-20
Vit Bhopal,Student,16-May-20
Deep LogicTech India Pvt. Ltd,Software Developer,16-May-20
"National Service Scheme, mbm jodhpur",NSS,16-May-20
Reliance Industries Limited,Oracle Database Administrator,15-May-20
AlphaDevs,UI/UX Developer,15-May-20
ISA - VIT,Human Resources Executive,15-May-20
stickman animation studio,Summer Internship,15-May-20
Schneider Electric,Commercial Leadership Program,15-May-20
KL iTech Solutions,Business Development Executive,15-May-20
IEEE Computer Society VIT Chennai,Treasurer,15-May-20
Vellore Institute of Technology,Student,15-May-20
Intel Corporation,Graduate Technical Intern,15-May-20
Cloudera,Associate Software Engineer,15-May-20
KPIT,Trainee,15-May-20
Mindtree,Module Lead,15-May-20
"igrenEnergi, Inc.",Research Intern,15-May-20
BlackRock,Analyst,15-May-20
Swiggy,Data Scientist Intern,15-May-20
Mphasis,Associate Software Engineer,15-May-20
Team Anant-HPV,Captain,15-May-20
Cognizant,Program Analyst,15-May-20
DBS Bank,Application Developer,15-May-20
Indian Servers,Director,15-May-20
Hindustan Zinc Limited,Lead Engineer,15-May-20
GeeksGod,Social Media Intern,15-May-20
ZS,Decision Analytics Associate,15-May-20
Microsoft,Microsoft Student Learn Ambassador,15-May-20
Rijkswaterstaat,Graduate Student,15-May-20
WomenTech Network,Global Ambassador at women tech network,15-May-20
Prologic Web Solutions Pvt. Ltd,Web Developer,15-May-20
Stanford Center for Professional Development,Online Student,15-May-20
FutureAPI,Data Science Intern,15-May-20
ZiMetrics Technologies,Trainee Software Engineer,15-May-20
Nanoyotta Technologies,Intern,15-May-20
Google ,Women Techmakers (Member),15-May-20
Continental,Intern,15-May-20
Aircel,Data Analyst,15-May-20
By and Large,Web Developer,15-May-20
Hewlett Packard Enterprise,Natural Language Processing Intern,15-May-20
VIT University (Chennai Campus),Student,15-May-20
Self employed,Self Employed,14-May-20
Oracle,Software Developer II - Member of Technical Staff,14-May-20
Exide Industries Limited,Area Executive - Sales & Marketing,14-May-20
Flo Mobility,Android Developer,14-May-20
Capillary Technologies,AI Systems Intern,14-May-20
,,14-May-20
Cerner Corporation,Software Engineer,14-May-20
Girlscript Chapter Bilaspur,Member of Technical Team,14-May-20
Infosys,Senior System Engineer,14-May-20
DigiLocker,Machine Learning Intern,14-May-20
Xilinx,Hardware Verification Engineer,14-May-20
Publicis Sapient,Associate Technology Lvl I,14-May-20
Codecademy,Chapter Lead,14-May-20
Accops Systems Pvt. Ltd.,Software Engineer,14-May-20
Almug Technologies,Intern,14-May-20
LinkedIn Local Anand,Content Writer,14-May-20
,,14-May-20
Verizon,Software Developer,14-May-20
YoLo Connect,Data Science Intern,14-May-20
Microsoft,Software Engineer,14-May-20
Shell,Network Security Engineer - ICS/OT,14-May-20
Genesys,Associate Software Engineer,14-May-20
Tata Consultancy Services,Assistant System Engineer,14-May-20
TEAM ERP,Django Developer,14-May-20
Bombay High Court - India,Software Engineer,14-May-20
SmartStorey,Data Analyst,14-May-20
Kastech Software Solutions Group,Talent Acquisition Specialist,14-May-20
,,14-May-20
,,14-May-20
club 20,Student Coordinator,14-May-20
Freshworks,SOC Engineer,14-May-20
Shell,Wintel application specialist,14-May-20
CIRRIUS TECHNOLOGIES PRIVATE LIMITED,Business Analyst,14-May-20
,,14-May-20
,,14-May-20
Vellore Institute of Technology,Student,14-May-20
Intel Corporation,Information Security- Cyber Application Authentication,14-May-20
international conference on  nanoscience and nanotechnology ,Event Coordinator,14-May-20
CollegeTips.in,Marketing Intern,14-May-20
Walmart Labs,Senior Data Scientist,13-May-20
,,13-May-20
SRI VASAVI ENGINEERING COLLEGE,Women Grievance Cell | Student Coordinator,13-May-20
ECS Software Pvt. Ltd. Gurgaon,Executive,13-May-20
Coursera,Beta Tester,13-May-20
Amazon,SDE 1,13-May-20
,,13-May-20
Developer Student Club Thapar ,Core team member,13-May-20
InfyU LABS,Web Development Intern,13-May-20
Deqode,Solution engineer,13-May-20
ValueLabs,Software Engineer,13-May-20
TheTechIntern,Summer Training and Internship,13-May-20
PARTUM TECHNOLOGIES PVT LTD,Software Engineer,13-May-20
University of Petroleum and Energy Studies,Student,13-May-20
Hinduja Tech Limited,Powertrain Engineer,13-May-20
,,13-May-20
Logic Information Systems,Associate Consultant,13-May-20
Hult Prize at Canadian University of Bangladesh,Deputy Head of Digital Marketing,13-May-20
Accurate cutting system Pvt Ltd,Junior Mechanical Engineer,13-May-20
GE Healthcare,Enterprise Applications Engineering Specialist,13-May-20
,,13-May-20
Ericsson,Artificial Intelligence Intern,13-May-20
GE Digital,Software Engineering Specialist,13-May-20
PwC,AML Analyst,13-May-20
Self-employed,Software Developer,13-May-20
Walmart Labs India,Software Engineer III,13-May-20
"IoT Lab, KiiT",Flutter Developer,13-May-20
Self-employed,Chief Executive Officer,13-May-20
,,13-May-20
,,13-May-20
Google Crowdsource ,Representative,13-May-20
Halal Joints,Software Engineer Intern,13-May-20
IEC E-Cell SOA,Associate,13-May-20
,,13-May-20
Indutech IT Solutions Pvt Ltd,Summer Intern,13-May-20
Cognizant,Programmer Analyst,13-May-20
,,13-May-20
danamojo.org,Inside Sales Intern,13-May-20
,,13-May-20
QuEST Global,Industrial Trainee,13-May-20
Wipro Digital,Project Engineer,13-May-20
PUMA Group,Summer Intern,13-May-20
,,13-May-20
,,13-May-20
Nineleaps,Intern,13-May-20
,,13-May-20
Anayakreation,Jr. Web Developer,13-May-20
WTF - Digital Waiter™,SDE Intern,13-May-20
Edudictive,Community Manager,13-May-20
Dell Technologies,Software Engineer I,13-May-20
,,13-May-20
,,13-May-20
,,13-May-20
,,13-May-20
KTH Hyperloop,Manufacturing Engineering ,13-May-20
PowerSchool,Software Engineer Intern,13-May-20
LinuxWorld Informatics Pvt Ltd,Redhat Ansible (RH294) Trainee,13-May-20
Valeo,Computational Fluid Dynamics Engineer,13-May-20
Errows Infotech,Student Intern,13-May-20
Developer Student Clubs,DSC Lead,13-May-20
Cisco,Software Engineer,13-May-20
IET On Campus VIT,Technical team member in Team fourth Dimension of IET on campus VIT,13-May-20
Alphaa AI,Fellow,13-May-20
Coding Ninjas India,Student,13-May-20
LinuxWorld Informatics Pvt Ltd,Summer Trainee / intern,13-May-20
Internshala,Internshala Student Partner 20,13-May-20
Liquid Talk LLP,Graphic Designer,13-May-20
,,13-May-20
"Systech Solutions, Inc",Data Analyst,13-May-20
ServiceNow,Software Engineer,13-May-20
WABCO,Senior Engineer,13-May-20
IEEE Women in Engineering ,"Chairman, Wie, IIT Mandi Student Chapter",13-May-20
IoT Alliance,Lead Developer,13-May-20
TCS iON LifeLong Learning,Intern,13-May-20
Vodafone,Network Engineer,13-May-20
Deloitte,technology consultant ,13-May-20
LINUX WORLD INFORMATICS PRIVATE LIMITED,Summer Intern,13-May-20
smartShift,Database Administrator || Cloud DBA,13-May-20
Criterion Networks,Former Consultant,13-May-20
,,13-May-20
Advertout,Social Media Manager,13-May-20
IIEC Rise,Specialist in Python  (with Flask Towards Data Science),13-May-20
Codebugged AI,Product Development Lead,13-May-20
Tata Consultancy Services,System Engineer,13-May-20
Shell,Software Engineer - Safety and Environment,13-May-20
Bright Money,Senior Software Engineer,13-May-20
CEDCOSS Technologies Private Limited,Software Developer Trainee,13-May-20
Fraternity of Young Innovators,Member,13-May-20
Tata Consultancy Services,Intern,13-May-20
SLIET Software Developement Club,Core Committee Head,13-May-20
Atos,Data Engineer,13-May-20
Vellore Institute of Technology,Teaching Assistant,13-May-20
Utsaha-IIM Indore's Marketing Fest,Campus Ambassador,13-May-20
IBM India Private Limited,SAP HANA BASIS Consultant,13-May-20
Seyal Technologies, Software  Developer,13-May-20
GeeksforGeeks,Member Of Technical Staff,13-May-20
NSREEM SOFTWARES,Software Engineer Intern,13-May-20
Accenture,Software Engineer,13-May-20
Tata Technologies,Design Engineer,13-May-20
Oye Rickshaw: The First & Last Mile Ride co.,Backend Intern,13-May-20
WomenTech Network,Global Ambassador WomenTech Network,13-May-20
,,13-May-20
LinuxWorld Informatics Pvt Ltd,Intern,13-May-20
Hindustan University,Graduate Student,13-May-20
Legato Health Technologies,Associate Software Engineer,13-May-20
Mastercard,AI Specialist,13-May-20
,,13-May-20
Infosys,Associate Business Analyst,13-May-20
Google Developers Group Chennai,Member,13-May-20
,,13-May-20
Swiggy,Executive ORM,13-May-20
Rubixe,Trainee Data Scientist,13-May-20
Celebal Technologies,Associate Business Analyst,13-May-20
Self employed,Graduate,13-May-20
,,13-May-20
CodePark,Content Manager,13-May-20
millionaire youth club,Founder,13-May-20
Shell,Software Engineer,13-May-20
Motus,Machine Learning Engineer,13-May-20
Citrix,Software Engineer-2,13-May-20
Myntra Jabong,Senior Manager Talent Acquisition,13-May-20
Syntel,Associate Consultant,13-May-20
"Philips Innovation Campus, Bangalore",Software Engineer,13-May-20
Odessa,Product Owner,13-May-20
L&T Infotech,Software Engineer,12-May-20
AIT Resource Group Inc,IT Recruiter,12-May-20
Amdocs,Software Developer,12-May-20
POWER TECHNOLOGY,Director,12-May-20
Blue Yonder,Cyber Security Manager,12-May-20
NSTL DRDO,JRF,12-May-20
Tata Consultancy Services,Assistant System Engineer,12-May-20
Ureka Education Group,Country Sales Specialist,12-May-20
Ernst & Young,Analyst,12-May-20
State Paramedical Faculty Lucknow,Center Manager,12-May-20
,,12-May-20
M.gupta & co,Articled Assistant,12-May-20
The Solar Labs,Software Engineer Intern,12-May-20
Informatica,Cloud DevOps Engineer Intern - R&D team,12-May-20
Team Rays,Vice Captain,12-May-20
Pie And Heart,Head,12-May-20
VMware,Member Of Technical Staff,12-May-20
Tata Elxsi,Chief Strategist,12-May-20
Vector India Pvt. Ltd.,Embedded Software Engineer,12-May-20
SmartServ,Customer Onboarding Associate,12-May-20
Stevens Institute of Technology,Graduate Teaching Assistant,12-May-20
SEO Growtth ,Digital Marketing | SEO Expert,12-May-20
SmartCookie PVT LTD,Jr. DevOps Engineer,12-May-20
Binplus Technologies (P) Limited,Full Stack Developer,12-May-20
Intel Corporation,SoC Design Engineer ,12-May-20
YAY! - Celebrating Education,Data Science Mentor,12-May-20
,,12-May-20
Self-employed,MR,12-May-20
Amazon,Software Development Engineer II,12-May-20
Freelancer- Self employed,Freelancing in Connecting and Featuring profiles of jobseekers among my connections,12-May-20
Cerner Corporation,System Engineer,12-May-20
Biosash ,Network marketer,12-May-20
LinuxWorld Informatics Pvt Ltd,Flutter trainee,12-May-20
Deloitte India (Offices of the US),SAP Analyst,12-May-20
Cognizant,MSBI Full Stack ,12-May-20
AntWorks,Junior Data Scientist,12-May-20
Indian Ordnance Factories,JWM,12-May-20
HCL Technologies,Physical Design Engineer,12-May-20
Codobux,Founder & CEO,12-May-20
MITx on edX,Statistics & Data Science Researcher,12-May-20
" Engineering Students Association, JSCOE",Treasurer,12-May-20
Medhaj Techno Concept Pvt. Ltd.,Engineer,12-May-20
Turvo Inc.,Software Engineer,12-May-20
Oracle,Applications Developer 2,12-May-20
,,12-May-20
PNC,Senior Project Engineer,12-May-20
AIMonk Labs Private Ltd,Software Development Engineer,12-May-20
Techistan,Open Source Developer,12-May-20
ScriptsHub Technologies Pvt. Ltd.,Summer Intern,12-May-20
Tx Labs,Python Developer,12-May-20
Self Employed,Proprietor,12-May-20
Quytech - Mobile Apps | AR | VR | AI,aws and docker,12-May-20
RTU,M>TECH,12-May-20
www.popchaser.com,Trends Website,12-May-20
Pozibility Technologies Pvt Ltd,Founder & CEO,12-May-20
GITAM University,Student,12-May-20
Tata Consultancy Services,Engineer,12-May-20
Self Employed,Independent Information Security Researcher,12-May-20
Emtec Inc.,SDE,12-May-20
Super Simple Software,Machine Learning Engineer,12-May-20
,,12-May-20
Naswiz Holidays Pvt. Ltd.,Associate,12-May-20
GE Power,Software Engineer,12-May-20
Self Employed,Digital Marketing Manager,12-May-20
,,12-May-20
International MUN ,Official Campus Ambassador Intern,12-May-20
Naukri.com,Senior Software Engineer,12-May-20
KKEYDOS,Founder & Director,12-May-20
codeforcoder,Content Developer,12-May-20
Shell,Software Engineer,12-May-20
Manappuram Comptech and Consultants Limited,Assistant Manager,12-May-20
Deloitte,Consultant,12-May-20
WovVTech,Software Developer,12-May-20
"GUVI Geek Networks, IITM Research Park",Problem Setter,12-May-20
Societe Generale Global Solution Centre,Cloud Solutions Engineer and Full Stack Developer,12-May-20
NetApp,Cyber Security Analyst,12-May-20
Vocera Communications,Firmware Quality Assurance Intern,12-May-20
Institution's Innovation Council-VIT,Member,12-May-20
VMware,Senior Member Of Technical Staff,12-May-20
Mphasis,Delivery Software Engineer,12-May-20
Hexagon Manufacturing Intelligence,Marketing Director,12-May-20
MyCaptain,Entrepreneurship,12-May-20
NCRTC,Design Engineer,12-May-20
,,12-May-20
eSceneric,Software Developer,12-May-20
Dell Technologies,Principal Software Engineer - IT,12-May-20
Design square,Graphic Designer,12-May-20
Lilac Infotech Pvt. Ltd.,CEO,12-May-20
Biome.ai,Founder,12-May-20
ZapApps.io,Business Analyst,12-May-20
Hadaddesigns,Project Manager | Digital Marketing Expert | UI/UX Specialist | Creative Advertiser,12-May-20
Schneider Electric,Mechanical Design Engineer,12-May-20
Google,Explore ML Facilitator ,12-May-20
Mindtree,Module Lead,12-May-20
IKNL - A Micro Finance Company,Director,12-May-20
Wells Fargo,Senior Application Analyst,12-May-20
DeltaDynamix Pvt Ltd,Senior IT Support Specialist,12-May-20
Sparrows News,Founder,12-May-20
Ducat Education,Student,12-May-20
Sigmoid,Associate Software Development Engineer,12-May-20
Blue Yonder,Software Engineer,12-May-20
I-PAC (Indian Political Action Committee),Core Team Member,12-May-20
Infosys,Lead Analyst - Data Science,12-May-20
EDIFIXIO INDIA PRIVATE LIMITED,Software Engineer,12-May-20
Mobikode,Android Application Developer,12-May-20
Neumeric Technologies Pvt Ltd,IT recruiter,12-May-20
IPM Investment and Analysis Group,Analyst,12-May-20
C4Projects,User Interface Designer,12-May-20
MPPL RAIPUR(CG),Project Manager,12-May-20
Google,Customer Engineer,12-May-20
Bright Money,Growth (Product) Manager,12-May-20
Publicis Sapient,SDE-2 @ Tesco,12-May-20
none,Deep Learning Researcher,12-May-20
,,12-May-20
NoBroker.com,Software Engineer,12-May-20
"K.J. Somaiya College of Engineering, Vidyavihar, Mumbai",A.P.,12-May-20
Talkd. Inc,Research Analyst,12-May-20
Bhaskaracharya Institute For Space Applications and Geo-Informatics,Intern,12-May-20
Groupe Renault,Deputy Manager,12-May-20
Own Company,Entrepreneur,12-May-20
"WELLNESYS INC.,",Senior Software Engineer - Artificial Intelligence,12-May-20
Parvathi properties,Managing Partner,12-May-20
cyberThink Inc,Technical Recruiter ( U.S IT Recruiter),12-May-20
National Australia Bank,"Advisor, Corporate Banking Servicing",12-May-20
MIRAFRA SOFTWARE TECHNOLOGIES PRIVATE LIMITED,Member Of Technical Staff,12-May-20
RaceStaff.com,Head Of Operations,12-May-20
Toastmasters International,Member,12-May-20
ICAR-RCER Patna,Research Associate,12-May-20
Freelance-Immigration,Immigration Specialist-Australia,12-May-20
Classplus ,Business Development Manager,12-May-20
Bluenet,Sr.Technical Recruiter ,12-May-20
,,12-May-20
The Gravity Originals,Public Relations Event Specialist,12-May-20
"J.B. Hunt Transport Services, Inc",Software Engineer,12-May-20
IINCORE Software Systems Pvt Ltd,Software Engineer,12-May-20
Shriram Life Insurance,Unit Manager,12-May-20
ThoughtWorks,Senior Application Developer,12-May-20
GLOBAL MANAGEMENT SERVICES,HR Recruitment & Training Specialist,12-May-20
Quadeye,Quantitative Analyst Trainee,12-May-20
Success To Samadhi,Founder,12-May-20
Wipro,Application Support Engineer,12-May-20
ITC Limited,"Assistant Under Training, Marketing",12-May-20
JOBWORLD INDIA PRIVATE LTD,Resource Executive,12-May-20
Shipsy,Software Developer,12-May-20
Retired from Hindustan Petroleum. ,Sr. Manager,12-May-20
Sumyag Data Sciences,Full-stack Developer,12-May-20
Infosys,Consultant,12-May-20
Tata Consultancy Services,Business Process Lead,12-May-20
,,12-May-20
,,12-May-20
Robert Bosch Engineering and Business Solutions Private Limited,Associate Software Engineer,12-May-20
TheVisualCinema,Technical Head,12-May-20
We Solve For You,Business Strategy ,12-May-20
Alstom,Full Stack Java Developer,12-May-20
HCL Technologies,Business Intelligence Analyst,12-May-20
employHER,Chief Design Officer,12-May-20
,,12-May-20
Cognizant,Program Analyst Trainee ,12-May-20
Kurage,Frontend Web Developer,12-May-20
The Datalytics,Director,12-May-20
Quora,Contributing Writer,12-May-20
IKYA Human Capital Solutions - A Quess Company,Freelancer,12-May-20
HCL Technologies,Customer Service Representative,12-May-20
CCC Digital,Full Stack Engineer,12-May-20
Campus Jam,Co-Founder,12-May-20
Course5i,Senior Analyst,12-May-20
Casepoint LLC,Associate eDiscovery Analyst,12-May-20
,,12-May-20
Google Developers Group,Community Member,12-May-20
Fiserv,Software Engineer,12-May-20
Omnicom Media Group,Data Analyst,12-May-20
VIT Bhopal,Student,12-May-20
Peacock Solar,Data Mining Analyst Intern,12-May-20
"Entrepreneurship Cell, VIT",Senior Core Committee Member,12-May-20
Microsoft,Chief Digital Officer,11-May-20
PayPal,Software Engineer 2,11-May-20
ENTES Elektronik,Manager (Sales and Business Developement) West ,11-May-20
Adcuratio,Junior Developer,11-May-20
GirlScript Summer of Code,Open Source Contributor,11-May-20
IBM,Research Project Intern,11-May-20
EPAM Systems,Junior Software Engineer,11-May-20
,,11-May-20
Zoho Corporation,Member Technical Staff,11-May-20
Sri Hanuman Enterprise,Business Development Manager,11-May-20
Uber,Software Engineer II,11-May-20
1mg,Software Engineer Intern,11-May-20
Micro Focus,Software Engineer I,11-May-20
wosool Advertising corp,Account Marketing Manager,11-May-20
iPaylabs India Technology Private Limited,Software Engineer,11-May-20
WebEngage,Android Developer,11-May-20
Springworks (previously SpringRole),Software Engineer Intern,11-May-20
Konvos,Product Developer,11-May-20
Sakshem IT Solution,BUSINESS DATA ANALYST,11-May-20
,,11-May-20
Riemen solution Pvt Ltd,Team Lead,11-May-20
Amazon Web Services (AWS),Network Development Engineer,11-May-20
Uniworks Designs,Software developer,11-May-20
Study,Student,11-May-20
Smart Hire Solutions,Director,11-May-20
,,11-May-20
IBM India Private Limited,Service Delivery Specialist,11-May-20
"NetEnrich, Inc.",Data Scientist,11-May-20
OpenGenus Foundation,Technical Content Writing Intern,11-May-20
Amazon,SDE-1,11-May-20
Royal Dutch Shell,Operations Landcape Manager,11-May-20
GAVS Technologies,Technical Lead,11-May-20
Success Pact Consulting Pvt. Ltd.,Talent Acquisition Specialist ,11-May-20
,,11-May-20
Searce Inc,Cloud Engineer,11-May-20
,,11-May-20
Acquire,Quality Assurance Engineer,11-May-20
Crypticocean,Blockchain Research & Technical Writing Intern,11-May-20
SAGE Publishing,Peer Review Associate,11-May-20
Coding Ninjas India,Student,11-May-20
VEGA Entertainment Pvt Ltd,Senior UI Developer,11-May-20
Universal Grants Pvt Ltd,Director,11-May-20
Bank of America,Sr. Tech Associate,11-May-20
Internity Foundation,Java Intern,11-May-20
Paytm,Software Engineer,11-May-20
Verzeo,Data Science Intern,11-May-20
Ooredoo Qatar,Sr. Infra Engineer,11-May-20
Shell,Software Engineer,11-May-20
WNS Global Services,Data Science,11-May-20
PricewaterhouseCoopers - Service Delivery Center (PwC SDC),Specialist,11-May-20
Infosys,System Engineer,11-May-20
JPMorgan Chase & Co.,Software Engineer II,11-May-20
Justice For You (Law Firm),Founder,11-May-20
Nagarro,Associate Engineer,11-May-20
,,11-May-20
LiveVox,Software Engineer,11-May-20
,,11-May-20
Finexus Inc.,Software Engineer,11-May-20
LinuxWorld Informatics Pvt Ltd,Student Intern,11-May-20
Meesho,Software Development Engineer II,11-May-20
OPPO,Engineer L3,11-May-20
HP,Software Engineer,11-May-20
NIT Patna,Assistant Professor,11-May-20
Madhu Infotech India Pvt Ltd,Sales Manager,11-May-20
,,11-May-20
Bohra Trade And Logistics (OPC) Private Limited,Liaison Officer,11-May-20
,,11-May-20
TeamLease Services Limited,Freelance Recruiter,11-May-20
,,11-May-20
Ioconnect Software Solution Pvt Ltd,Java Software Developer,11-May-20
"National Informatics Centre, MeitY",Software Engineering Intern,11-May-20
Walmart labs,Software Engineer II,11-May-20
Cisco,Software Engineer II,11-May-20
Stealth Mode B2B Fintech Startup Company,Co-Founder,11-May-20
Honeywell,Systems Engineer,11-May-20
Waste Management,Senior Quality Assurance Analyst,11-May-20
Jio,Software Development Internship,11-May-20
NETPARAM TECHNOLOGIES PRIVATE LIMITED,Intern,11-May-20
Sociowash,Web Developer,11-May-20
Telenext Systems,Python Developer,11-May-20
YouTube,Youtube Partner - (TheTrendyBlog),11-May-20
Okulo Aerospace,Machine Learning Intern,11-May-20
